Datetime,Open,High,Low,Close,Volume
2019-11-18 04:15:00-05:00,266.1,266.1,266.1,266.1,0
2019-11-18 04:20:00-05:00,266.2,266.2,266.2,266.2,0
2019-11-18 04:27:00-05:00,266.19,266.19,266.19,266.19,0
2019-11-18 04:33:00-05:00,266.25,266.25,266.25,266.25,0
2019-11-18 04:39:00-05:00,266.25,266.25,266.25,266.25,0
2019-11-18 04:45:00-05:00,266.4,266.4,266.4,266.4,0
2019-11-18 04:46:00-05:00,266.33,266.33,266.33,266.33,0
2019-11-18 04:49:00-05:00,266.39,266.66,266.39,266.66,0
2019-11-18 04:53:00-05:00,266.7,266.7,266.7,266.7,0
2019-11-18 05:14:00-05:00,266.5,266.5,266.5,266.5,0
2019-11-18 05:22:00-05:00,266.4,266.44,266.4,266.44,0
2019-11-18 05:26:00-05:00,266.53,266.54,266.53,266.54,0
2019-11-18 05:35:00-05:00,266.47,266.47,266.47,266.47,0
2019-11-18 05:43:00-05:00,266.4,266.4,266.4,266.4,0
2019-11-18 06:03:00-05:00,266.31,266.31,266.3,266.3,0
2019-11-18 06:08:00-05:00,266.38,266.38,266.38,266.38,0
2019-11-18 06:11:00-05:00,266.35,266.35,266.35,266.35,0
2019-11-18 06:12:00-05:00,266.35,266.35,266.35,266.35,0
2019-11-18 06:14:00-05:00,266.25,266.25,266.25,266.25,0
2019-11-18 06:19:00-05:00,266.35,266.35,266.35,266.35,0
2019-11-18 06:40:00-05:00,266.27,266.27,266.23,266.23,0
2019-11-18 06:48:00-05:00,266.2,266.2,266.2,266.2,0
2019-11-18 06:51:00-05:00,266.34,266.38,266.34,266.38,0
2019-11-18 06:53:00-05:00,266.38,266.38,266.38,266.38,0
2019-11-18 06:54:00-05:00,266.4,266.4,266.4,266.4,0
2019-11-18 06:55:00-05:00,266.4,266.4,266.4,266.4,0
2019-11-18 07:07:00-05:00,266.5,266.5,266.5,266.5,0
2019-11-18 07:15:00-05:00,266.5,266.65,266.5,266.65,0
2019-11-18 07:16:00-05:00,266.65,266.7,266.65,266.7,0
2019-11-18 07:17:00-05:00,266.8,266.8,266.75,266.75,0
2019-11-18 07:18:00-05:00,266.65,266.79,266.65,266.79,0
2019-11-18 07:19:00-05:00,266.7,266.7,266.7,266.7,0
2019-11-18 07:21:00-05:00,266.73,266.73,266.73,266.73,0
2019-11-18 07:22:00-05:00,266.78,266.78,266.78,266.78,0
2019-11-18 07:23:00-05:00,266.8,266.81,266.8,266.8,0
2019-11-18 07:24:00-05:00,266.8,266.82,266.8,266.82,0
2019-11-18 07:25:00-05:00,266.85,266.85,266.8,266.8,0
2019-11-18 07:26:00-05:00,266.8,266.8,266.78,266.78,0
2019-11-18 07:27:00-05:00,266.69,266.69,266.69,266.69,0
2019-11-18 07:28:00-05:00,266.68,266.69,266.68,266.69,0
2019-11-18 07:31:00-05:00,266.81,266.86,266.81,266.86,0
2019-11-18 07:33:00-05:00,266.86,266.86,266.86,266.86,0
2019-11-18 07:35:00-05:00,266.86,266.89,266.82,266.89,0
2019-11-18 07:37:00-05:00,266.84,266.89,266.84,266.84,0
2019-11-18 07:38:00-05:00,266.75,266.75,266.75,266.75,0
2019-11-18 07:39:00-05:00,266.89,266.9,266.89,266.9,0
2019-11-18 07:40:00-05:00,266.9,266.9,266.85,266.85,0
2019-11-18 07:41:00-05:00,266.85,266.88,266.85,266.87,0
2019-11-18 07:42:00-05:00,266.88,266.9,266.8,266.9,0
2019-11-18 07:43:00-05:00,266.9,266.9,266.9,266.9,0
2019-11-18 07:44:00-05:00,266.89,266.9,266.81,266.9,0
2019-11-18 07:46:00-05:00,266.85,266.85,266.81,266.81,0
2019-11-18 07:47:00-05:00,266.92,266.92,266.92,266.92,0
2019-11-18 07:48:00-05:00,266.86,266.9,266.86,266.9,0
2019-11-18 07:49:00-05:00,266.9,266.95,266.9,266.95,0
2019-11-18 07:50:00-05:00,266.95,266.95,266.95,266.95,0
2019-11-18 07:51:00-05:00,266.96,266.99,266.91,266.91,0
2019-11-18 07:54:00-05:00,266.91,266.91,266.91,266.91,0
2019-11-18 07:55:00-05:00,266.96,266.98,266.95,266.95,0
2019-11-18 07:56:00-05:00,266.96,266.99,266.95,266.95,0
2019-11-18 07:57:00-05:00,266.99,267.0,266.9,266.9,0
2019-11-18 07:58:00-05:00,267.0,267.14,267.0,267.14,0
2019-11-18 08:00:00-05:00,267.1,267.1,267.1,267.1,0
2019-11-18 08:01:00-05:00,267.1,267.1,267.1,267.1,0
2019-11-18 08:02:00-05:00,267.1,267.12,267.1,267.1,0
2019-11-18 08:03:00-05:00,267.06,267.1,267.06,267.1,0
2019-11-18 08:04:00-05:00,267.07,267.07,267.07,267.07,0
2019-11-18 08:05:00-05:00,267.05,267.05,267.05,267.05,0
2019-11-18 08:06:00-05:00,267.05,267.06,267.05,267.05,0
2019-11-18 08:07:00-05:00,267.05,267.05,267.05,267.05,0
2019-11-18 08:08:00-05:00,267.05,267.05,267.01,267.01,0
2019-11-18 08:09:00-05:00,267.05,267.05,267.05,267.05,0
2019-11-18 08:10:00-05:00,267.09,267.09,267.09,267.09,0
2019-11-18 08:11:00-05:00,267.09,267.1,267.09,267.1,0
2019-11-18 08:12:00-05:00,267.12,267.15,267.1,267.15,0
2019-11-18 08:13:00-05:00,267.14,267.16,267.1,267.16,0
2019-11-18 08:14:00-05:00,267.18,267.2,267.16,267.16,0
2019-11-18 08:15:00-05:00,266.69,267.19,266.51,267.1898,0
2019-11-18 08:16:00-05:00,267.19,267.19,267.1,267.1,0
2019-11-18 08:17:00-05:00,267.1,267.15,267.05,267.05,0
2019-11-18 08:18:00-05:00,267.1,267.182,267.05,267.09,0
2019-11-18 08:19:00-05:00,267.13,267.14,267.1,267.14,0
2019-11-18 08:20:00-05:00,267.13,267.13,267.11,267.11,0
2019-11-18 08:21:00-05:00,267.14,267.15,267.12,267.12,0
2019-11-18 08:22:00-05:00,267.11,267.11,267.1,267.1,0
2019-11-18 08:23:00-05:00,267.1,267.1,267.1,267.1,0
2019-11-18 08:24:00-05:00,267.05,267.1,267.05,267.1,0
2019-11-18 08:25:00-05:00,267.1,267.1,267.1,267.1,0
2019-11-18 08:26:00-05:00,267.1799,267.1799,267.1799,267.1799,0
2019-11-18 08:27:00-05:00,267.15,267.2,267.13,267.13,0
2019-11-18 08:28:00-05:00,267.24,267.24,267.23,267.24,0
2019-11-18 08:29:00-05:00,267.22,267.22,267.22,267.22,0
